2026-09-17 17:08:26,053 | INFO | extract_gmail.py | Email extraction completed: 18 inbox messages, 0 sent messages
2026-09-17 17:08:26,053 | INFO | state_graph.py | Gmail ingestion completed: 18 messages fetched
2026-09-17 17:08:26,059 | INFO | state_graph.py | Commitment tracker workflow completed successfully
2026-09-17 17:08:59,452 | INFO | state_graph.py | Starting commitment tracker workflow
2026-09-17 17:08:59,452 | INFO | state_graph.py | Creating LangGraph workflow
2026-09-17 17:08:59,455 | INFO | state_graph.py | LangGraph workflow compiled successfully
2026-09-17 17:08:59,459 | INFO | state_graph.py | Gmail ingestion started
2026-09-17 17:08:59,462 | INFO | connect_gmail.py | Started with the Gmail Authentication
2026-09-17 17:09:00,079 | INFO | connect_gmail.py | Authenticaion completed
2026-09-17 17:09:00,079 | INFO | connect_gmail.py | Connected to Gmail API successfully
2026-09-17 17:09:00,079 | INFO | extract_gmail.py | Starting email extraction
2026-09-17 17:09:00,917 | INFO | extract_gmail.py | Email extraction completed: 100 inbox messages, 6 sent messages
2026-09-17 17:09:00,917 | INFO | state_graph.py | Gmail ingestion completed: 106 messages fetched
2026-09-17 17:09:00,927 | INFO | state_graph.py | Commitment tracker workflow completed successfully
2026-09-17 17:09:31,402 | INFO | state_graph.py | Starting commitment tracker workflow
2026-09-17 17:09:31,403 | INFO | state_graph.py | Creating LangGraph workflow
2026-09-17 17:09:31,406 | INFO | state_graph.py | LangGraph workflow compiled successfully
2026-09-17 17:09:31,412 | INFO | state_graph.py | Gmail ingestion started
2026-09-17 17:09:31,415 | INFO | connect_gmail.py | Started with the Gmail Authentication
2026-09-17 17:09:32,092 | INFO | connect_gmail.py | Authenticaion completed
2026-09-17 17:09:32,093 | INFO | connect_gmail.py | Connected to Gmail API successfully
2026-09-17 17:09:32,093 | INFO | extract_gmail.py | Starting email extraction
2026-09-17 17:09:33,031 | INFO | extract_gmail.py | Email extraction completed: 178 inbox messages, 6 sent messages
2026-09-17 17:09:33,032 | INFO | state_graph.py | Gmail ingestion completed: 184 messages fetched
2026-09-17 17:09:33,033 | INFO | state_graph.py | Commitment tracker workflow completed successfully
2026-09-17 17:19:42,465 | INFO | state_graph.py | Starting commitment tracker workflow
2026-09-17 17:19:42,465 | INFO | state_graph.py | Creating LangGraph workflow
2026-09-17 17:19:42,468 | INFO | state_graph.py | LangGraph workflow compiled successfully
2026-09-17 17:19:42,473 | INFO | state_graph.py | Gmail ingestion started
2026-09-17 17:19:42,478 | INFO | connect_gmail.py | Started with the Gmail Authentication
2026-09-17 17:19:43,348 | INFO | connect_gmail.py | Authenticaion completed
2026-09-17 17:19:43,348 | INFO | connect_gmail.py | Connected to Gmail API successfully
2026-09-17 17:19:43,348 | INFO | extract_gmail.py | Starting email extraction
